Rene,2026-08-19,6200,10000
Hasan,2026-08-19,6700,12000
John,2026-08-19,7200,8000
Rene,2026-08-20,5000,10000
Hasan,2026-08-20,5500,12000
John,2026-08-20,6000,8000
Rene,2026-08-21,11000,10000
Hasan,2026-08-21,11500,12000
John,2026-08-21,12000,8000
Rene,2026-08-22,9800,10000
Hasan,2026-08-22,10300,12000
John,2026-08-22,10800,8000
Rene,2026-08-23,8600,10000
Hasan,2026-08-23,9100,12000
John,2026-08-23,9600,8000
Rene,2026-08-24,7400,10000
Hasan,2026-08-24,7900,12000
John,2026-08-24,8400,8000
Rene,2026-08-25,6200,10000
Hasan,2026-08-25,6700,12000
John,2026-08-25,7200,8000
Rene,2026-08-26,5000,10000
Hasan,2026-08-26,5500,12000
John,2026-08-26,6000,8000
Rene,2026-08-27,11000,10000
Hasan,2026-08-27,11500,12000
John,2026-08-27,12000,8000
Rene,2026-08-28,9800,10000
Hasan,2026-08-28,10300,12000
John,2026-08-28,10800,8000
Rene,2026-08-29,8600,10000
Hasan,2026-08-29,9100,12000
John,2026-08-29,9600,8000
Rene,2026-08-30,7400,10000
Hasan,2026-08-30,7900,12000
John,2026-08-30,8400,8000
Rene,2026-08-31,6200,10000
Hasan,2026-08-31,6700,12000
John,2026-08-31,7200,8000
Rene,2026-09-01,5000,10000
Hasan,2026-09-01,5500,12000
John,2026-09-01,6000,8000
test01,2026-09-01,23455,21984
christian,2026-09-01,23876,23931
test01,2026-09-02,23414,21984
christian,2026-09-02,23876,23931
test01,2026-09-03,45673,21984
christian,2026-09-03,23876,23931
test01,2026-09-04,12455,21984
christian,2026-09-04,23876,23931
test01,2026-09-05,20987,21984
christian,2026-09-05,23876,23931
test01,2026-09-06,20987,21984
christian,2026-09-06,23432,23931
test01,2026-09-07,30987,21984
christian,2026-09-07,32432,23931
test01,2026-09-08,32132,21984
test01,2026-09-09,32111,37716
test01,2026-09-10,21323,21984
test01,2026-09-11,1234,37716
test01,2026-09-12,21244,37716
